make,model,price,year,kilometer,fuel_type,transmission,location,color,owner,seller_type,engine,max_power,max_torque,drivetrain,length,width,height,seating_capacity,fuel_tank_capacity,power_bhp,torque_nm
toyota,corolla altis gl,680000,2014,85000,diesel,manual,kanpur,white,second,individual,1364 cc,87 bhp @ 3800 rpm,205 nm @ 1800 rpm,fwd,4620.0,1775.0,1475.0,5.0,50.0,87.0,205.0
maruti suzuki,ciaz zdi shvs,625000,2015,61000,diesel,manual,allahabad,white,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4490.0,1730.0,1485.0,5.0,43.0,89.0,200.0
maruti suzuki,wagon r lxi lpg,235000,2012,35000,lpg,manual,varanasi,green,second,individual,998 cc,46 bhp @ 6200 rpm,85 nm @ 3500 rpm,fwd,3595.0,1475.0,1700.0,5.0,28.0,46.0,85.0
mahindra,scorpio s2,951000,2016,42000,diesel,manual,patna,white,first,individual,2523 cc,75 bhp @ 3200 rpm,200 nm @ 1400 rpm,rwd,4456.0,1820.0,1930.0,8.0,60.0,75.0,200.0
honda,city 1.5 v at,550000,2011,69000,petrol,automatic,bangalore,black,second,individual,1497 cc,118@6600,146@4600,fwd,4420.0,1695.0,1480.0,5.0,42.0,118.0,146.0
jeep,compass limited 1.4 petrol at [2017-2020],1350000,2017,70000,petrol,automatic,chennai,blue,first,individual,1368 cc,160 bhp @ 5500 rpm,250 nm @ 2500 rpm,fwd,4395.0,1818.0,1640.0,5.0,60.0,160.0,250.0
hyundai,i10 magna 1.2 kappa2,325000,2013,15780,petrol,manual,thane,red,first,individual,1197 cc,79 bhp @ 6000 rpm,112.7619 nm @ 4000 rpm,fwd,3585.0,1595.0,1550.0,5.0,35.0,79.0,112.7619
audi,a4 2.0 tdi (143 bhp),1150000,2012,40031,diesel,automatic,pune,blue,second,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
audi,q7 35 tdi premium + sunroof,2600000,2015,46000,diesel,automatic,delhi,black,first,individual,2967 cc,241 bhp @ 3800 rpm,550 nm @ 1750 rpm,awd,5089.0,1983.0,1737.0,7.0,100.0,241.0,550.0
maruti suzuki,ciaz zxi+,640000,2016,50800,petrol,manual,lucknow,white,first,individual,1373 cc,91 bhp @ 6000 rpm,130 nm @ 4000 rpm,fwd,4490.0,1730.0,1485.0,5.0,43.0,91.0,130.0
tata,tigor ev xz plus,1250000,2021,3000,electric,automatic,hyderabad,green,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,3993.0,1677.0,1532.0,5.0,50.0,116.0,200.0
toyota,corolla altis 1.8 vl at,450000,2011,95000,petrol,automatic,mumbai,white,first,individual,1794 cc,132@6000,170@4200,fwd,4540.0,1760.0,1480.0,5.0,55.0,132.0,170.0
bmw,5-series 520d sedan,750000,2010,112000,diesel,automatic,pune,blue,second,individual,1995 cc,177@4000,350@1750,rwd,4841.0,1846.0,1468.0,5.0,70.0,177.0,350.0
audi,a6 technology 45 tfsi,5300000,2020,36000,petrol,automatic,chennai,grey,first,individual,1984 cc,241 bhp @ 5000 rpm,370 nm @ 1600 rpm,fwd,4939.0,1886.0,1457.0,5.0,73.0,241.0,370.0
volvo,xc60 inscription [2017-2020],5800000,2019,3500,diesel,automatic,ludhiana,white,first,individual,1969 cc,235 bhp @ 4250 rpm,480 nm @ 1750 rpm,awd,4688.0,1902.0,1658.0,5.0,71.0,235.0,480.0
maruti suzuki,vitara brezza zdi,801000,2018,30000,diesel,manual,patna,silver,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,3995.0,1790.0,1640.0,5.0,48.0,89.0,200.0
volkswagen,jetta 1.9l tdi,310000,2009,107879,diesel,manual,pune,white,second,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
mahindra,scorpio s6 plus 1.99 [2016-2017],1090000,2017,19000,diesel,manual,delhi,white,first,individual,1997 cc,120 bhp @ 4000 rpm,280 nm @ 1800 rpm,rwd,4456.0,1820.0,1995.0,8.0,60.0,120.0,280.0
maruti suzuki,alto vxi,245000,2014,31100,petrol,manual,jamshedpur,maroon,second,individual,998 cc,67 bhp @ 6200 rpm,90 nm @ 3500 rpm,fwd,3620.0,1475.0,1460.0,5.0,35.0,67.0,90.0
honda,amaze 1.2 s i-vtec,475000,2014,65000,petrol,manual,coimbatore,silver,second,individual,1198 cc,87 bhp @ 6000 rpm,109 nm @ 4500 rpm,fwd,3990.0,1680.0,1505.0,5.0,35.0,87.0,109.0
toyota,fortuner 2.8 4x4 at [2016-2020],2800000,2017,49000,diesel,automatic,delhi,white,second,individual,2755 cc,174 bhp @ 3400 rpm,450 nm @ 1600 rpm,awd,4795.0,1855.0,1835.0,7.0,80.0,174.0,450.0
tata,nexon ev xz plus,1450000,2022,5000,electric,automatic,mumbai,blue,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,3993.0,1811.0,1606.0,5.0,50.0,116.0,200.0
audi,a3 35 tdi premium,2950000,2020,11000,diesel,automatic,pune,white,first,individual,1968 cc,141 bhp @ 3500 rpm,320 nm @ 1750 rpm,fwd,4456.0,1796.0,1416.0,5.0,50.0,141.0,320.0
hyundai,grand i10 magna 1.2 kappa vtvt [2013-2016],545000,2019,28000,petrol,manual,kharar,white,first,individual,1197 cc,81 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3765.0,1660.0,1520.0,5.0,43.0,81.0,114.0
ford,endeavour titanium 2.0 4x2 at,3975000,2021,9400,diesel,automatic,delhi,black,first,individual,1996 cc,168 bhp @ 3500 rpm,420 nm @ 2000 rpm,rwd,4903.0,1869.0,1837.0,7.0,80.0,168.0,420.0
mercedes-benz,glc 220 d progressive,4200000,2017,77000,diesel,automatic,pune,white,first,individual,2143 cc,168 bhp @ 3000 rpm,400 nm @ 1400 rpm,awd,4656.0,1890.0,1639.0,5.0,66.0,168.0,400.0
hyundai,xcent sx crdi,434999,2017,27000,diesel,manual,kolkata,white,second,individual,1186 cc,74 bhp @ 4000 rpm,190 nm @ 1750 rpm,fwd,3995.0,1660.0,1520.0,5.0,43.0,74.0,190.0
renault,kwid rxt [2015-2019],315000,2017,15507,petrol,manual,pune,bronze,first,individual,799 cc,53 bhp @ 5678 rpm,72 nm @ 4386 rpm,fwd,3679.0,1579.0,1478.0,5.0,28.0,53.0,72.0
ssangyong,rexton rx6,900000,2016,70000,diesel,manual,mirzapur,black,second,individual,2696 cc,162 bhp @ 4000 rpm,340 nm @ 3250 rpm,awd,4755.0,1900.0,1785.0,7.0,78.0,162.0,340.0
honda,city vx,550000,2015,44000,petrol,manual,kolkata,grey,first,individual,1497 cc,117 bhp @ 6600 rpm,145 nm @ 4600 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0
bmw,x3 xdrive-20d xline,4400000,2018,70000,diesel,automatic,mumbai,white,first,individual,1995 cc,190 bhp @ 4000 rpm,400 nm @ 1750 rpm,awd,4657.0,1881.0,1678.0,5.0,67.0,190.0,400.0
toyota,fortuner 3.0 4x2 at,1600000,2015,145000,diesel,automatic,mohali,gold,second,individual,2982 cc,169 bhp @ 3600 rpm,360 nm @ 1400 rpm,rwd,4705.0,1840.0,1850.0,7.0,80.0,169.0,360.0
datsun,redigo t(o) 1.0 [2017-2019],198000,2017,24000,petrol,manual,faridabad,red,first,individual,999 cc,67 bhp @ 5500 rpm,91 nm @ 4250 rpm,fwd,3429.0,1560.0,1541.0,5.0,28.0,67.0,91.0
hyundai,i10 magna 1.1 lpg,225000,2014,47721,lpg,manual,patna,red,first,individual,1086 cc,68 bhp @ 5500 rpm,99.08 nm @ 4500 rpm,fwd,3585.0,1595.0,1550.0,5.0,35.0,68.0,99.08
hyundai,i20 asta 1.4 at with avn,310000,2011,26000,petrol,automatic,mumbai,silver,first,individual,1396 cc,100@5500,137@4200,fwd,3940.0,1710.0,1505.0,5.0,45.0,100.0,137.0
renault,kwid rxt [2015-2019],315000,2017,15507,petrol,manual,thane,bronze,first,individual,799 cc,53 bhp @ 5678 rpm,72 nm @ 4386 rpm,fwd,3679.0,1579.0,1478.0,5.0,28.0,53.0,72.0
honda,city v,775000,2018,39000,petrol,manual,noida,maroon,second,individual,1497 cc,117 bhp @ 6600 rpm,145 nm @ 4600 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0
maruti suzuki,dzire vxi amt,625000,2017,58000,petrol,automatic,chennai,silver,first,individual,1197 cc,82 bhp @ 6000 rpm,113 nm @ 4200 rpm,fwd,3995.0,1735.0,1515.0,5.0,37.0,82.0,113.0
hyundai,creta sx plus 1.6 crdi dual tone,775000,2015,82000,diesel,manual,raipur,red,second,individual,1582 cc,126 bhp @ 4000 rpm,265 nm @ 1900 rpm,fwd,4270.0,1780.0,1630.0,5.0,60.0,126.0,265.0
toyota,innova 2.4 g 7 str [2016-2017],1549000,2018,95315,diesel,manual,karnal,brown,second,individual,2393 cc,148 bhp @ 3400 rpm,343 nm @ 1400 rpm,rwd,4735.0,1830.0,1795.0,7.0,55.0,148.0,343.0
bmw,3-series 320d prestige,1679000,2016,46000,diesel,automatic,delhi,blue,second,individual,1995 cc,188 bhp @ 4000 rpm,400 nm @ 1750 rpm,rwd,4633.0,1811.0,1429.0,5.0,57.0,188.0,400.0
maruti suzuki,swift zxi amt [2018-2019],725000,2019,11874,petrol,automatic,mumbai,white,first,individual,1197 cc,82 bhp @ 6000 rpm,113 nm @ 4200 rpm,fwd,3840.0,1735.0,1530.0,5.0,37.0,82.0,113.0
hyundai,verna fluidic 1.6 crdi sx,540000,2014,86000,diesel,manual,lucknow,silver,first,individual,1582 cc,126 bhp @ 4000 rpm,260 nm @ 1900 rpm,fwd,4370.0,1700.0,1475.0,5.0,43.0,126.0,260.0
volkswagen,polo highline1.2l (d),350000,2014,111000,diesel,manual,ambala cantt,blue,second,individual,1199 cc,74 bhp @ 4200 rpm,180 nm @ 2000 rpm,fwd,3970.0,1682.0,1453.0,5.0,45.0,74.0,180.0
volvo,v40 d3 r-design,1689999,2015,50000,diesel,automatic,coimbatore,white,second,individual,1984 cc,150 bhp @ 3500 rpm,350 nm @ 1500 rpm,fwd,4370.0,1783.0,1458.0,5.0,60.0,150.0,350.0
nissan,magnite xl,625000,2021,28000,petrol,manual,zirakpur,white,first,corporate,999 cc,71 bhp @ 6250 rpm,96 nm @ 3500 rpm,fwd,3994.0,1758.0,1572.0,5.0,40.0,71.0,96.0
maruti suzuki,celerio zxi [2019-2020],475000,2019,25000,petrol,manual,muzaffurpur,grey,first,individual,998 cc,67 bhp @ 6000 rpm,90 nm @ 3500 rpm,fwd,3695.0,1600.0,1560.0,5.0,35.0,67.0,90.0
kia,seltos htk plus 1.5 diesel,1650000,2021,12000,diesel,manual,raipur,white,first,individual,1493 cc,113 bhp @ 4000 rpm,250 nm @ 1500 rpm,fwd,4315.0,1800.0,1637.0,5.0,50.0,113.0,250.0
hyundai,santro era,409999,2019,32000,petrol,manual,zirakpur,silver,first,individual,1086 cc,68 bhp @ 5500 rpm,99 nm @ 4500 rpm,fwd,3610.0,1645.0,1560.0,5.0,35.0,68.0,99.0
hyundai,i20 sportz 1.2 (o),275000,2011,45000,petrol,manual,delhi,white,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
land rover,range rover sport sdv6 s,5900000,2014,70000,diesel,automatic,mumbai,grey,first,corporate,2993 cc,289 bhp @ 4000 rpm,600 nm @ 2000 rpm,awd,4879.0,2073.0,1780.0,5.0,77.0,289.0,600.0
toyota,innova 2.4 vx 7 str [2016-2020],2100000,2017,112000,diesel,manual,hyderabad,bronze,first,individual,2393 cc,148 bhp @ 3400 rpm,343 nm @ 1400 rpm,rwd,4735.0,1830.0,1795.0,7.0,55.0,148.0,343.0
bmw,5-series 520d luxury line [2017-2019],2750000,2017,51800,diesel,automatic,navi mumbai,black,second,individual,1995 cc,188 bhp @ 4000 rpm,400 nm @ 1750 rpm,rwd,4936.0,1868.0,1479.0,5.0,65.0,188.0,400.0
maruti suzuki,ignis zeta 1.2 amt,545000,2017,22000,petrol,automatic,delhi,blue,first,individual,1197 cc,82 bhp @ 6000 rpm,113 nm @ 4200 rpm,fwd,3700.0,1690.0,1595.0,5.0,32.0,82.0,113.0
tata,safari 2.2 vx 4x2,740000,2015,155000,diesel,manual,hyderabad,black,first,individual,2179 cc,138 bhp @ 4000 rpm,320 nm @ 1700 rpm,rwd,4655.0,1965.0,1922.0,7.0,55.0,138.0,320.0
mercedes-benz,e-class e 200,2400000,2016,60000,petrol,automatic,nashik,black,second,individual,1991 cc,184 bhp @ 5500 rpm,300 nm @ 1200 rpm,rwd,4879.0,1854.0,1474.0,5.0,80.0,184.0,300.0
bmw,5-series 520d luxury line [2017-2019],4500000,2018,23000,diesel,automatic,pune,grey,first,individual,1995 cc,188 bhp @ 4000 rpm,400 nm @ 1750 rpm,rwd,4936.0,1868.0,1479.0,5.0,65.0,188.0,400.0
maruti suzuki,swift vxi,465000,2014,75000,petrol,manual,mohali,white,first,individual,1197 cc,85 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3850.0,1695.0,1530.0,5.0,42.0,85.0,114.0
fiat,punto active 1.3,375000,2014,71000,diesel,manual,hyderabad,maroon,first,individual,1248 cc,75 bhp @ 4000 rpm,197 nm @ 1750 rpm,fwd,3987.0,1687.0,1495.0,5.0,45.0,75.0,197.0
audi,q3 30 tdi premium fwd,2900000,2017,64000,diesel,automatic,chennai,white,first,individual,1968 cc,150 bhp @ 3500 rpm,340 nm @ 1750 rpm,fwd,4385.0,1831.0,1608.0,5.0,64.0,150.0,340.0
honda,wr-v vx mt petrol,795000,2018,45326,petrol,manual,mumbai,white,first,individual,1199 cc,89 bhp @ 6000 rpm,110 nm @ 4800 rpm,fwd,3999.0,1734.0,1601.0,5.0,40.0,89.0,110.0
mercedes-benz,c-class c 300d amg line,5250000,2020,28079,diesel,automatic,mumbai,blue,first,individual,1950 cc,241 bhp @ 4200 rpm,500 nm @ 1600 rpm,rwd,4686.0,1810.0,1442.0,5.0,66.0,241.0,500.0
audi,a3 35 tdi premium,2900000,2019,15529,diesel,automatic,mumbai,white,first,individual,1968 cc,141 bhp @ 3500 rpm,320 nm @ 1750 rpm,fwd,4456.0,1796.0,1416.0,5.0,50.0,141.0,320.0
mercedes-benz,gla 200 sport,2250000,2015,43200,petrol,automatic,pune,silver,first,corporate,1991 cc,181 bhp @ 5500 rpm,300 nm @ 1200 rpm,fwd,4424.0,1804.0,1494.0,5.0,50.0,181.0,300.0
honda,city vx cvt petrol [2017-2019],1050000,2017,29386,petrol,automatic,bangalore,silver,second,individual,1497 cc,117 bhp @ 6600 rpm,145 nm @ 4600 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0
hyundai,grand i10 asta 1.2 kappa vtvt [2013-2016],765000,2021,18105,petrol,manual,bangalore,silver,first,individual,1197 cc,81 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3765.0,1660.0,1520.0,5.0,43.0,81.0,114.0
maruti suzuki,s-cross sigma 1.3,675000,2017,125372,diesel,manual,coimbatore,brown,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4300.0,1765.0,1590.0,5.0,48.0,89.0,200.0
audi,a6 35 tdi matrix,2400000,2015,100000,diesel,automatic,jaipur,blue,first,individual,1968 cc,190 bhp @ 3800 rpm,400 nm @ 1750 rpm,fwd,4933.0,1874.0,1455.0,5.0,75.0,190.0,400.0
maruti suzuki,eeco 7 str [2019-2020],509999,2019,40000,petrol,manual,thane,silver,first,individual,1196 cc,73 bhp @ 6000 rpm,101 nm @ 3000 rpm,rwd,3675.0,1475.0,1800.0,7.0,40.0,73.0,101.0
mahindra,xuv700 ax 7 diesel at awd luxury pack 7 str,2750000,2022,31000,diesel,automatic,jaipur,black,first,individual,2184 cc,182 bhp @ 3500 rpm,450 nm @ 1750 rpm,awd,4695.0,1890.0,1755.0,7.0,60.0,182.0,450.0
audi,a7 sportback 3.0 tdi quattro,2600000,2012,42000,diesel,automatic,lucknow,white,first,individual,2967 cc,241 bhp @ 4000 rpm,500 nm @ 1400 rpm,awd,4969.0,2139.0,1420.0,5.0,65.0,241.0,500.0
honda,city 1.5 v at,495000,2012,65001,petrol,automatic,pune,red,first,individual,1497 cc,116 bhp @ 6600 rpm,146 nm @ 4800 rpm,fwd,4440.0,1695.0,1485.0,5.0,42.0,116.0,146.0
audi,q7 35 tdi premium + sunroof,2400000,2014,42533,diesel,automatic,mumbai,blue,first,individual,2967 cc,241 bhp @ 3800 rpm,550 nm @ 1750 rpm,awd,5089.0,1983.0,1737.0,7.0,100.0,241.0,550.0
hyundai,grand i10 magna 1.2 kappa vtvt [2013-2016],495000,2018,45000,petrol,manual,mumbai,white,first,individual,1197 cc,81 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3765.0,1660.0,1520.0,5.0,43.0,81.0,114.0
land rover,discovery sport hse 7-seater,4200000,2018,36000,diesel,automatic,raipur,white,second,individual,2179 cc,148 bhp @ 4000 rpm,400 nm @ 1750 rpm,awd,4600.0,2069.0,1724.0,7.0,65.0,148.0,400.0
toyota,fortuner 2.8 4x2 at [2016-2020],2550000,2017,44000,diesel,automatic,delhi,black,second,individual,2755 cc,174 bhp @ 3400 rpm,450 nm @ 1600 rpm,rwd,4795.0,1855.0,1835.0,7.0,80.0,174.0,450.0
maruti suzuki,swift dzire ldi,480000,2016,85000,diesel,manual,lucknow,white,first,individual,1248 cc,74 bhp @ 4000 rpm,190 nm @ 2000 rpm,fwd,3995.0,1695.0,1555.0,5.0,42.0,74.0,190.0
hyundai,creta 1.6 sx (o),1750000,2021,17000,diesel,manual,kanpur,black,first,individual,1582 cc,126 bhp @ 4000 rpm,265 nm @ 1900 rpm,fwd,4270.0,1780.0,1630.0,5.0,60.0,126.0,265.0
maruti suzuki,ertiga zdi + shvs,850000,2019,72000,diesel,manual,lucknow,silver,first,individual,1248 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4296.0,1695.0,1685.0,7.0,45.0,89.0,200.0
hyundai,santro sportz amt [2018-2020],434999,2019,34400,petrol,automatic,ranchi,silver,first,individual,1086 cc,68 bhp @ 5500 rpm,99 nm @ 4500 rpm,fwd,3610.0,1645.0,1560.0,5.0,35.0,68.0,99.0
hyundai,venue sx (o) 1.0 turbo imt,1070000,2021,8800,petrol,manual,delhi,white,first,individual,998 cc,118 bhp @ 6000 rpm,172 nm @ 1500 rpm,fwd,3995.0,1770.0,1605.0,5.0,45.0,118.0,172.0
honda,city zx cvt petrol,1530000,2022,2000,petrol,automatic,delhi,grey,first,individual,1498 cc,119 bhp @ 6600 rpm,145 nm @ 4300 rpm,fwd,4549.0,1748.0,1489.0,5.0,40.0,119.0,145.0
hyundai,creta sx 1.5 diesel [2020-2022],1598000,2020,19700,diesel,manual,mumbai,maroon,first,individual,1493 cc,113 bhp @ 4000 rpm,250 nm @ 1500 rpm,fwd,4300.0,1790.0,1635.0,5.0,50.0,113.0,250.0
hyundai,verna 1.6 vtvt sx,645000,2016,45000,petrol,manual,delhi,white,first,individual,1591 cc,121 bhp @ 6300 rpm,158 nm @ 4200 rpm,fwd,4375.0,1700.0,1475.0,5.0,43.0,121.0,158.0
mercedes-benz,c-class 220 cdi sport,1100000,2012,73000,diesel,automatic,kanpur,white,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
maruti suzuki,swift dzire zdi amt,650000,2017,76000,diesel,automatic,navi mumbai,silver,first,individual,1248 cc,74 bhp @ 4000 rpm,190 nm @ 2000 rpm,fwd,3995.0,1695.0,1555.0,5.0,42.0,74.0,190.0
volkswagen,vento highline diesel,545000,2013,110000,diesel,manual,bangalore,silver,first,individual,1598 cc,103 bhp @ 4400 rpm,250 nm @ 1500 rpm,fwd,4384.0,1699.0,1466.0,5.0,55.0,103.0,250.0
honda,city v petrol,1095000,2022,2700,petrol,manual,delhi,silver,first,individual,1497 cc,118 bhp @ 6600 rpm,145 nm @ 4600 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,118.0,145.0
toyota,innova 2.8 zx at 7 str [2016-2020],1975000,2018,75000,diesel,automatic,ahmedabad,grey,first,individual,2755 cc,172 bhp @ 3400 rpm,360 nm @ 1200 rpm,rwd,4735.0,1830.0,1795.0,7.0,55.0,172.0,360.0
rolls-royce,ghost 6.5,18000000,2011,60000,petrol,automatic,mumbai,maroon,second,corporate,6592 cc,570 bhp @ 5250 rpm,780 nm @ 1500 rpm,rwd,5399.0,1948.0,1550.0,5.0,82.5,570.0,780.0
audi,q3 35 tdi technology with navigation,1839000,2017,110000,diesel,automatic,mumbai,blue,first,individual,1968 cc,174 bhp @ 4200 rpm,380 nm @ 1750 rpm,awd,4385.0,1831.0,1608.0,5.0,64.0,174.0,380.0
skoda,superb l&k tsi at,1500000,2016,70000,petrol,automatic,raipur,white,second,individual,1798 cc,177 bhp @ 5100 rpm,250 nm @ 1250 rpm,fwd,4861.0,1864.0,1483.0,5.0,66.0,177.0,250.0
audi,q3 35 tdi quattro premium plus,2100000,2017,42000,diesel,automatic,gurgaon,silver,first,individual,1968 cc,184 bhp @ 3500 rpm,380 nm @ 1750 rpm,awd,4385.0,1831.0,1608.0,5.0,64.0,184.0,380.0
volkswagen,polo comfortline 1.5l (d),345000,2015,70000,diesel,manual,faridabad,red,first,individual,1498 cc,89 bhp @ 4200 rpm,230 nm @ 1500 rpm,fwd,3971.0,1682.0,1469.0,5.0,45.0,89.0,230.0
honda,city v,850000,2018,52890,petrol,manual,gurgaon,silver,first,individual,1497 cc,117 bhp @ 6600 rpm,145 nm @ 4600 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0
hyundai,creta sx 1.6 at crdi,1425000,2018,72870,diesel,automatic,mumbai,white,first,corporate,1582 cc,126 bhp @ 4000 rpm,260 nm @ 1500 rpm,fwd,4270.0,1780.0,1665.0,5.0,55.0,126.0,260.0
hyundai,elite i20 asta 1.2,675000,2017,48591,petrol,manual,hyderabad,white,first,individual,1197 cc,82 bhp @ 6000 rpm,115 nm @ 4000 rpm,fwd,3985.0,1734.0,1505.0,5.0,45.0,82.0,115.0
mahindra,xuv300 1.5 w6 [2019-2020],925000,2019,60888,diesel,manual,jalandhar,silver,first,individual,1497 cc,115 bhp @ 3750 rpm,300 nm @ 1500 rpm,fwd,3995.0,1821.0,1627.0,5.0,42.0,115.0,300.0
hyundai,eon era +,210000,2014,48000,petrol,manual,lucknow,red,first,individual,814 cc,55 bhp @ 5500 rpm,75 nm @ 4000 rpm,fwd,3495.0,1550.0,1500.0,5.0,32.0,55.0,75.0
tata,nexon xm,760000,2018,20251,petrol,manual,pune,grey,first,individual,1198 cc,108 bhp @ 5000 rpm,170 nm @ 1750 rpm,fwd,3994.0,1811.0,1607.0,5.0,44.0,108.0,170.0
hyundai,verna 1.6 crdi sx,640000,2015,49000,diesel,manual,mumbai,white,first,individual,1582 cc,126 bhp @ 4000 rpm,260 nm @ 1900 rpm,fwd,4375.0,1700.0,1475.0,5.0,43.0,126.0,260.0
maruti suzuki,swift vxi,340000,2013,66000,petrol,manual,meerut,white,first,individual,1197 cc,85 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3850.0,1695.0,1530.0,5.0,42.0,85.0,114.0
land rover,discovery sport se r-dynamic,5995000,2020,54200,diesel,automatic,indore,white,first,individual,1999 cc,177 bhp @ 4000 rpm,430 nm @ 1750 rpm,awd,4600.0,2069.0,1724.0,7.0,70.0,177.0,430.0
nissan,teana 250xl,550000,2013,33000,petrol,automatic,pune,red,first,individual,1197 cc,89 bhp @ 4000 rpm,200 nm @ 1750 rpm,fwd,4370.0,1770.0,1545.0,5.0,50.0,116.0,200.0
honda,city s petrol,695000,2017,51292,petrol,manual,thane,white,first,individual,1497 cc,117 bhp @ 6600 rpm,145 nm @ 4600 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0
ford,figo trend 1.5l tdci [2015-2016],465000,2015,89000,diesel,manual,jaipur,orange,second,individual,1498 cc,99 bhp @ 3750 rpm,215 nm @ 1750 rpm,fwd,3886.0,1695.0,1525.0,5.0,40.0,99.0,215.0
toyota,glanza v,735000,2019,55000,petrol,manual,jaipur,silver,first,individual,1197 cc,82 bhp @ 6000 rpm,113 nm @ 4200 rpm,fwd,3995.0,1745.0,1510.0,5.0,37.0,82.0,113.0
mercedes-benz,e-class e 200 avantgarde,1300000,1988,71000,petrol,automatic,dehradun,red,third,individual,1991 cc,181 bhp @ 5500 rpm,300 nm @ 1200 rpm,rwd,5063.0,1860.0,1494.0,5.0,80.0,181.0,300.0
hyundai,alcazar prestige 7 str 1.5 diesel,1848999,2021,20000,diesel,manual,karnal,white,first,individual,1493 cc,113 bhp @ 4000 rpm,250 nm @ 1500 rpm,fwd,4500.0,1790.0,1675.0,7.0,50.0,113.0,250.0
honda,city v,685000,2016,68500,petrol,manual,ahmedabad,bronze,first,individual,1497 cc,117 bhp @ 6600 rpm,145 nm @ 4600 rpm,fwd,4440.0,1695.0,1495.0,5.0,40.0,117.0,145.0
hyundai,santa fe 2wd at [2014-2017],875000,2014,99000,diesel,automatic,delhi,white,first,corporate,2199 cc,194 bhp @ 3800 rpm,437 nm @ 1800 rpm,awd,4690.0,1880.0,1690.0,7.0,64.0,194.0,437.0
toyota,innova 2.8 zx at 7 str [2016-2020],2039999,2018,110000,diesel,automatic,delhi,bronze,first,corporate,2755 cc,172 bhp @ 3400 rpm,360 nm @ 1200 rpm,rwd,4735.0,1830.0,1795.0,7.0,55.0,172.0,360.0
toyota,glanza g,700000,2019,19244,petrol,manual,zirakpur,red,first,individual,1197 cc,82 bhp @ 6000 rpm,113 nm @ 4200 rpm,fwd,3995.0,1745.0,1510.0,5.0,37.0,82.0,113.0
maruti suzuki,wagon r vxi 1.2,550000,2020,19000,petrol,manual,varanasi,blue,first,individual,1197 cc,82 bhp @ 6000 rpm,113 nm @ 4200 rpm,fwd,3655.0,1620.0,1675.0,5.0,32.0,82.0,113.0
hyundai,santa fe 2wd at [2014-2017],825000,2015,75000,diesel,automatic,delhi,silver,second,individual,2199 cc,194 bhp @ 3800 rpm,437 nm @ 1800 rpm,awd,4690.0,1880.0,1690.0,7.0,64.0,194.0,437.0
toyota,innova 2.4 zx 7 str [2016-2020],3100000,2021,29000,diesel,manual,bangalore,white,first,individual,2393 cc,148 bhp @ 3400 rpm,343 nm @ 1400 rpm,rwd,4735.0,1830.0,1795.0,7.0,55.0,148.0,343.0
audi,a6 2.0 tdi premium,1400000,2013,60000,diesel,automatic,pune,grey,second,individual,1968 cc,177 bhp @ 3750 rpm,380 nm @ 1750 rpm,fwd,4915.0,1874.0,1455.0,5.0,65.0,177.0,380.0
maruti suzuki,swift vxi,425000,2015,80000,petrol,manual,noida,white,second,individual,1197 cc,85 bhp @ 6000 rpm,114 nm @ 4000 rpm,fwd,3850.0,1695.0,1530.0,5.0,42.0,85.0,114.0
lexus,nx 300h luxury [2017-2020],4375000,2018,54500,petrol,automatic,delhi,black,second,individual,2494 cc,194 bhp @ 5700 rpm,210 nm @ 4200 rpm,awd,4640.0,1845.0,1645.0,5.0,56.0,194.0,210.0
