name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,mileage,engine,max_power,torque,seats,mileage_value,mileage_unit,engine_cc,power_bhp
mahindra scorpio s2 7 seater,2014,680000,120000,diesel,individual,manual,first owner,15.4 kmpl,2523 CC,75 bhp,200Nm@ 1400-2200rpm,7.0,15.4,kmpl,2523.0,75.0
tata zest quadrajet 1.3 75ps xe,2015,350000,60000,diesel,individual,manual,first owner,22.95 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0,22.95,kmpl,1248.0,74.0
volkswagen vento petrol highline,2012,360000,60000,petrol,individual,manual,third owner,15.04 kmpl,1598 CC,103.6 bhp,153Nm@ 3800rpm,5.0,15.04,kmpl,1598.0,103.6
ford figo petrol zxi,2010,250000,80000,petrol,individual,manual,second owner,15.6 kmpl,1196 CC,70 bhp,102Nm@ 4000rpm,5.0,15.6,kmpl,1196.0,70.0
maruti swift vxi,2019,550000,11500,petrol,individual,manual,first owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,21.21,kmpl,1197.0,81.8
hyundai eon magna plus,2012,180000,56000,petrol,individual,manual,first owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,kmpl,814.0,55.2
honda jazz 1.5 e i dtec,2016,425000,68000,diesel,individual,manual,first owner,27.3 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,27.3,kmpl,1498.0,98.6
tata tiago 1.2 revotron xt,2019,409999,25000,petrol,individual,manual,first owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,23.84,kmpl,1199.0,84.0
tata tiago 1.2 revotron xt,2018,438999,25000,petrol,individual,manual,first owner,23.84 kmpl,1199 CC,84 bhp,114Nm@ 3500rpm,5.0,23.84,kmpl,1199.0,84.0
nissan micra active xl petrol,2014,225000,100000,petrol,individual,manual,first owner,19.49 kmpl,1198 CC,67.04 bhp,104Nm@ 4000rpm,5.0,19.49,kmpl,1198.0,67.04
mahindra bolero power plus plus non ac bsiv ps,2017,580000,95000,diesel,individual,manual,first owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0,15.96,kmpl,2523.0,63.0
maruti swift dzire vxi,2008,200000,100000,petrol,individual,manual,first owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5.0,17.5,kmpl,1298.0,85.8
hyundai santro xing base,2006,75000,90000,petrol,individual,manual,second owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
fiat grande punto 1.3 dynamic (diesel),2013,250000,47000,diesel,individual,manual,first owner,20.3 kmpl,1248 CC,75 bhp,197Nm@ 1750rpm,5.0,20.3,kmpl,1248.0,75.0
maruti ritz ldi,2011,170000,175000,diesel,individual,manual,second owner,21.1 kmpl,1248 CC,73.9 bhp,190Nm@ 2000rpm,5.0,21.1,kmpl,1248.0,73.9
maruti swift dzire 1.2 vxi bsiv,2010,300000,60000,petrol,individual,manual,second owner,17.5 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0,17.5,kmpl,1197.0,85.8
mahindra bolero di,2005,160000,300000,diesel,individual,manual,third owner,13.6 kmpl,2523 CC,63 bhp,180 Nm at 1440-1500rpm,7.0,13.6,kmpl,2523.0,63.0
maruti swift dzire vdi,2014,409999,150000,diesel,individual,manual,third owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,23.4,kmpl,1248.0,74.0
hyundai i20 1.4 crdi asta,2012,350000,110000,diesel,individual,manual,third owner,23.0 kmpl,1396 CC,90 bhp,22.4 kgm at 1750-2750rpm,5.0,23.0,kmpl,1396.0,90.0
renault kwid rxl,2019,310000,25000,petrol,individual,manual,first owner,25.17 kmpl,799 CC,53.3 bhp,72Nm@ 4386rpm,5.0,25.17,kmpl,799.0,53.3
maruti alto lxi,2010,135000,95000,petrol,individual,manual,third owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
maruti ritz vdi,2010,220000,100000,diesel,individual,manual,first owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5.0,21.1,kmpl,1248.0,73.9
hyundai grand i10 1.2 kappa sportz bsiv,2017,570000,20000,petrol,individual,manual,first owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,18.9,kmpl,1197.0,81.86
maruti swift dzire vdi,2014,500000,84000,diesel,individual,manual,first owner,23.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,23.4,kmpl,1248.0,74.0
hyundai i20 2015-2017 asta option 1.4 crdi,2016,875000,40000,diesel,individual,manual,first owner,22.54 kmpl,1396 CC,88.73 bhp,219.7Nm@ 1500-2750rpm,5.0,22.54,kmpl,1396.0,88.73
tata indica vista tdi lx,2011,210000,100000,diesel,individual,manual,first owner,19.1 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0,19.1,kmpl,1405.0,70.0
tata indica vista tdi lx,2011,210000,120000,diesel,individual,manual,first owner,19.4 kmpl,1405 CC,70 bhp,135.4Nm@ 2500rpm,5.0,19.4,kmpl,1405.0,70.0
hyundai santro xing gls lpg,2010,200000,80000,lpg,individual,manual,second owner,13.45 km/kg,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,13.45,km/kg,1086.0,62.1
maruti alto lx,2011,175000,175000,petrol,individual,manual,second owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
hyundai i20 1.2 asta option,2017,700000,30000,petrol,individual,manual,first owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,18.6,kmpl,1197.0,81.83
hyundai grand i10 1.2 kappa magna at,2019,550000,28000,petrol,individual,automatic,first owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,18.9,kmpl,1197.0,81.86
hyundai santro era,2019,420000,20000,petrol,individual,manual,second owner,20.3 kmpl,1086 CC,68 bhp,99Nm@ 4500rpm,5.0,20.3,kmpl,1086.0,68.0
hyundai i20 asta,2009,210000,89322,petrol,individual,manual,second owner,17.0 kmpl,1197 CC,80 bhp,"11.4 kgm at 4,000 rpm",5.0,17.0,kmpl,1197.0,80.0
chevrolet beat diesel lt,2013,175000,76000,diesel,individual,manual,first owner,25.44 kmpl,936 CC,57.6 bhp,150Nm@ 1750rpm,5.0,25.44,kmpl,936.0,57.6
maruti alto lxi,2012,180000,70000,petrol,individual,manual,second owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
maruti alto lx bsiii,2007,118000,110000,petrol,individual,manual,second owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
hyundai verna crdi,2007,170000,120000,diesel,individual,manual,second owner,16.8 kmpl,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0,16.8,kmpl,1493.0,110.0
maruti zen estilo 1.1 lx bsiii,2009,120000,110000,petrol,individual,manual,second owner,18.2 kmpl,1061 CC,64 bhp,84Nm@ 3500rpm,5.0,18.2,kmpl,1061.0,64.0
maruti alto lxi,2009,170000,90000,petrol,individual,manual,third owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
maruti swift zdi plus,2018,700000,60000,diesel,individual,manual,first owner,28.4 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,28.4,kmpl,1248.0,74.0
mahindra bolero 2011-2019 sle bsiii,2014,500000,48300,diesel,individual,manual,second owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,15.96,kmpl,2523.0,62.1
maruti wagon r ax minor,2007,80000,63000,petrol,individual,automatic,third owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0,18.9,kmpl,1061.0,67.0
honda city 2017-2020 exi,2008,105000,110000,petrol,individual,manual,second owner,17.7 kmpl,1497 CC,78 bhp,"12.7@ 2,700(kgm@ rpm)",5.0,17.7,kmpl,1497.0,78.0
maruti swift dzire ldi,2016,425000,120000,diesel,individual,manual,third owner,26.59 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,26.59,kmpl,1248.0,74.0
hyundai i20 2015-2017 sportz 1.2,2017,625000,23511,petrol,individual,manual,first owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,18.6,kmpl,1197.0,81.83
hyundai i20 1.2 spotz,2017,640000,22512,petrol,individual,manual,first owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,18.6,kmpl,1197.0,81.83
hyundai i10 magna 1.2 itech se,2010,180000,120000,petrol,individual,manual,first owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,20.36,kmpl,1197.0,78.9
maruti ritz vdi,2009,155000,120000,diesel,individual,manual,first owner,21.1 kmpl,1248 CC,73.9 bhp,113Nm@ 4500rpm,5.0,21.1,kmpl,1248.0,73.9
maruti wagon r lx minor,2007,85000,100000,petrol,individual,manual,third owner,18.9 kmpl,1061 CC,67 bhp,84Nm@ 3500rpm,5.0,18.9,kmpl,1061.0,67.0
hyundai i10 magna 1.2 itech se,2011,250000,70000,petrol,individual,manual,first owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,20.36,kmpl,1197.0,78.9
hyundai verna 1.6 vtvt at sx,2017,1000000,15000,petrol,individual,automatic,first owner,17.01 kmpl,1591 CC,121.3 bhp,154.9Nm@ 4200rpm,5.0,17.01,kmpl,1591.0,121.3
datsun go a eps,2016,350000,16500,petrol,individual,manual,first owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5.0,20.63,kmpl,1198.0,67.0
maruti swift dzire zdi,2018,740000,50000,diesel,individual,manual,first owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,28.4,kmpl,1248.0,74.02
datsun redigo 1.0 s,2018,300000,19000,petrol,individual,manual,first owner,22.5 kmpl,999 CC,67 bhp,91Nm@ 4250rpm,5.0,22.5,kmpl,999.0,67.0
volkswagen ameo 1.5 tdi comfortline,2017,550000,50000,diesel,individual,manual,first owner,21.66 kmpl,1498 CC,108.62 bhp,250Nm@ 1500-3000rpm,5.0,21.66,kmpl,1498.0,108.62
mahindra bolero 2011-2019 slx,2017,710000,70000,diesel,individual,manual,first owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,15.96,kmpl,2523.0,62.1
mahindra bolero 2011-2019 slx,2017,700000,70000,diesel,individual,manual,first owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,15.96,kmpl,2523.0,62.1
mahindra bolero 2011-2019 sle bsiii,2016,550000,120000,diesel,individual,manual,first owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,15.96,kmpl,2523.0,62.1
hyundai i10 sportz 1.1l lpg,2015,375000,60000,lpg,individual,manual,first owner,19.2 km/kg,1086 CC,68.05 bhp,99.04Nm@ 4500rpm,5.0,19.2,km/kg,1086.0,68.05
tata safari dicor 2.2 ex 4x2,2015,600000,60000,diesel,individual,manual,first owner,13.93 kmpl,2179 CC,138.03 bhp,320Nm@ 1700-2700rpm,7.0,13.93,kmpl,2179.0,138.03
maruti swift vdi,2013,380000,76000,diesel,individual,manual,second owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,22.9,kmpl,1248.0,74.0
maruti 800 dx,1998,45000,80000,petrol,individual,manual,fourth & above owner,16.1 kmpl,796 CC,37 bhp,59Nm@ 2500rpm,4.0,16.1,kmpl,796.0,37.0
toyota innova 2.5 g4 diesel 8-seater,2010,450000,210000,diesel,individual,manual,second owner,12.8 kmpl,2494 CC,102 bhp,20.4@ 1400-3400(kgm@ rpm),8.0,12.8,kmpl,2494.0,102.0
mahindra bolero power plus plus ac bsiv ps,2015,475000,128000,diesel,individual,manual,third owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0,15.96,kmpl,2523.0,63.0
renault triber rxz bsiv,2019,650000,5000,petrol,individual,manual,first owner,20.0 kmpl,999 CC,72 bhp,96Nm@ 3500rpm,7.0,20.0,kmpl,999.0,72.0
maruti wagon r lxi lpg bsiv,2011,200000,70000,lpg,individual,manual,first owner,26.2 km/kg,998 CC,58.2 bhp,77Nm@ 3500rpm,5.0,26.2,km/kg,998.0,58.2
maruti swift vdi,2013,350000,85000,diesel,individual,manual,first owner,22.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,22.9,kmpl,1248.0,74.0
maruti vitara brezza zdi amt,2018,911999,25000,diesel,individual,automatic,first owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,kmpl,1248.0,88.5
maruti swift dzire vxi 1.2,2018,650000,15000,petrol,individual,manual,first owner,21.21 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,21.21,kmpl,1197.0,81.8
maruti swift dzire vxi,2012,350000,30000,petrol,individual,manual,first owner,17.5 kmpl,1298 CC,85.8 bhp,114Nm@ 4000rpm,5.0,17.5,kmpl,1298.0,85.8
maruti omni e mpi std bs iv,2016,190000,80000,petrol,individual,manual,second owner,16.8 kmpl,796 CC,34.2 bhp,59Nm@ 2500rpm,8.0,16.8,kmpl,796.0,34.2
hyundai verna crdi 1.6 sx option,2019,1200000,40000,diesel,individual,manual,first owner,22.0 kmpl,1582 CC,126.2 bhp,259.87nm@ 1500-3000rpm,5.0,22.0,kmpl,1582.0,126.2
mahindra bolero 2011-2019 ex non ac,2013,305000,160000,diesel,individual,manual,first owner,15.96 kmpl,2523 CC,62.1 bhp,195Nm@ 1400-2200rpm,7.0,15.96,kmpl,2523.0,62.1
hyundai creta 1.6 crdi sx,2015,850000,108000,diesel,individual,manual,first owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,19.67,kmpl,1582.0,126.2
volkswagen jetta 2.0 tdi comfortline,2011,350000,120000,diesel,individual,manual,second owner,15.0 kmpl,1896 CC,105 bhp,"25.5@ 1,900(kgm@ rpm)",5.0,15.0,kmpl,1896.0,105.0
hyundai santro xing gls,2010,180000,55000,petrol,individual,manual,fourth & above owner,17.92 kmpl,1086 CC,62.1 bhp,96.1Nm@ 3000rpm,5.0,17.92,kmpl,1086.0,62.1
tata new safari dicor gx 4x2 bs iv,2008,200000,110000,diesel,individual,manual,first owner,13.93 kmpl,2179 CC,138.1 bhp,320Nm@ 1700-2700rpm,7.0,13.93,kmpl,2179.0,138.1
toyota etios gd,2011,375000,80000,diesel,individual,manual,first owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
honda brio e mt,2012,229999,110000,petrol,individual,manual,first owner,19.4 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0,19.4,kmpl,1198.0,86.8
maruti wagon r vxi,2006,135000,62900,petrol,individual,manual,first owner,18.9 kmpl,998 CC,67.1 bhp,90Nm@ 3500rpm,5.0,18.9,kmpl,998.0,67.1
volkswagen jetta 2.0l tdi highline,2011,425000,120000,diesel,individual,manual,second owner,19.33 kmpl,1968 CC,138.1 bhp,320Nm@ 1750-2500rpm,5.0,19.33,kmpl,1968.0,138.1
mahindra xuv500 w10 2wd,2016,1350000,70000,diesel,individual,manual,first owner,16.0 kmpl,2179 CC,140 bhp,330Nm@ 1600-2800rpm,7.0,16.0,kmpl,2179.0,140.0
ford endeavour 4x2 xlt limited edition,2009,480000,70000,diesel,individual,manual,third owner,10.9 kmpl,2499 CC,143 bhp,"33.7@ 1,800(kgm@ rpm)",7.0,10.9,kmpl,2499.0,143.0
maruti swift dzire ldi,2017,455000,60000,diesel,individual,manual,first owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,28.4,kmpl,1248.0,74.02
maruti wagon r vxi optional,2015,320000,60000,petrol,individual,manual,first owner,20.51 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,20.51,kmpl,998.0,67.04
hyundai elite i20 sportz plus bsiv,2019,693000,4000,petrol,individual,manual,first owner,18.6 kmpl,1197 CC,81.86 bhp,117nm@ 4000rpm,5.0,18.6,kmpl,1197.0,81.86
maruti vitara brezza zdi plus,2017,830000,35000,diesel,individual,manual,first owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,kmpl,1248.0,88.5
hyundai grand i10 sportz,2016,470000,13500,petrol,individual,manual,first owner,18.9 kmpl,1197 CC,82 bhp,114Nm@ 4000rpm,5.0,18.9,kmpl,1197.0,82.0
honda city i vtec cvt vx,2017,1100000,26000,petrol,individual,automatic,first owner,18.0 kmpl,1497 CC,117.3 bhp,145Nm@ 4600rpm,5.0,18.0,kmpl,1497.0,117.3
tata zest quadrajet 1.3 xm,2016,325000,50000,diesel,individual,manual,first owner,23.0 kmpl,1248 CC,88.7 bhp,200Nm@ 1750-3000rpm,5.0,23.0,kmpl,1248.0,88.7
hyundai eon magna plus,2014,215000,50000,petrol,individual,manual,first owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,kmpl,814.0,55.2
maruti swift vxi,2018,560000,25000,petrol,individual,manual,first owner,22.0 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,22.0,kmpl,1197.0,81.8
maruti celerio vxi at,2017,400000,30000,petrol,individual,automatic,second owner,23.1 kmpl,998 CC,67.04 bhp,90Nm@ 3500rpm,5.0,23.1,kmpl,998.0,67.04
hyundai santro gls i - euro i,1999,60000,140000,petrol,individual,manual,third owner,18.9 kmpl,1248 CC,74 bhp,190Nm@ 2000rpm,5.0,19.3,kmpl,1248.0,82.0
ford ecosport 1.5 diesel titanium plus bsiv,2017,725000,45000,diesel,individual,manual,first owner,23.0 kmpl,1498 CC,98.96 bhp,205Nm@ 1750-3250rpm,5.0,23.0,kmpl,1498.0,98.96
honda brio 1.2 vx mt,2014,325000,52442,petrol,trustmark dealer,manual,second owner,18.5 kmpl,1198 CC,86.8 bhp,109Nm@ 4500rpm,5.0,18.5,kmpl,1198.0,86.8
hyundai i10 magna,2013,229999,39000,petrol,dealer,manual,first owner,20.36 kmpl,1197 CC,78.9 bhp,111.7Nm@ 4000rpm,5.0,20.36,kmpl,1197.0,78.9
mercedes-benz new c-class c 200 kompressor elegance at,2007,400000,42000,petrol,dealer,automatic,first owner,11.74 kmpl,1796 CC,186 bhp,285Nm@ 2400-4000rpm,5.0,11.74,kmpl,1796.0,186.0
volkswagen polo 1.2 mpi highline,2015,449000,34156,petrol,dealer,manual,first owner,16.47 kmpl,1198 CC,74 bhp,110Nm@ 3750rpm,5.0,16.47,kmpl,1198.0,74.0
hyundai grand i10 1.2 kappa sportz bsiv,2017,455000,34152,petrol,dealer,manual,first owner,18.9 kmpl,1197 CC,81.86 bhp,113.75nm@ 4000rpm,5.0,18.9,kmpl,1197.0,81.86
audi a4 35 tdi premium plus,2015,1750000,37000,diesel,dealer,automatic,first owner,18.25 kmpl,1968 CC,187.74 bhp,400Nm@ 1750-3000rpm,5.0,18.25,kmpl,1968.0,187.74
toyota innova crysta 2.8 gx at bsiv,2017,1390000,98000,diesel,dealer,automatic,first owner,11.36 kmpl,2755 CC,171.5 bhp,360Nm@ 1200-3400rpm,7.0,11.36,kmpl,2755.0,171.5
hyundai creta 1.6 sx option,2019,1150000,31000,petrol,dealer,manual,first owner,15.8 kmpl,1591 CC,121.3 bhp,151Nm@ 4850rpm,5.0,15.8,kmpl,1591.0,121.3
hyundai i20 1.2 magna executive,2018,650000,62841,petrol,trustmark dealer,manual,first owner,18.6 kmpl,1197 CC,81.83 bhp,114.7Nm@ 4000rpm,5.0,18.6,kmpl,1197.0,81.83
hyundai creta 1.6 crdi sx,2016,950000,38600,diesel,dealer,manual,first owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,19.67,kmpl,1582.0,126.2
maruti swift dzire amt zdi plus,2018,698000,27654,diesel,dealer,automatic,first owner,28.4 kmpl,1248 CC,74.02 bhp,190Nm@ 2000rpm,5.0,28.4,kmpl,1248.0,74.02
hyundai creta 1.6 crdi sx,2017,975000,48698,diesel,dealer,manual,first owner,19.67 kmpl,1582 CC,126.2 bhp,259.9Nm@ 1900-2750rpm,5.0,19.67,kmpl,1582.0,126.2
maruti wagon r vxi amt 1.2,2018,445000,32995,petrol,dealer,automatic,first owner,20.52 kmpl,1197 CC,81.80 bhp,113Nm@ 4200rpm,5.0,20.52,kmpl,1197.0,81.8
tata zest quadrajet 1.3 75ps xm,2018,539000,60000,diesel,individual,manual,first owner,22.95 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0,22.95,kmpl,1248.0,74.0
maruti swift vdi bsiii,2010,350000,110000,diesel,individual,manual,fourth & above owner,17.8 kmpl,1248 CC,75 bhp,190Nm@ 2000rpm,5.0,17.8,kmpl,1248.0,75.0
mahindra scorpio vlx 2wd airbag bsiii,2011,550000,260000,diesel,individual,manual,fourth & above owner,12.05 kmpl,2179 CC,120 bhp,290Nm@ 1800-2800rpm,8.0,12.05,kmpl,2179.0,120.0
renault duster 85ps diesel rxe,2015,550000,130000,diesel,individual,manual,second owner,20.45 kmpl,1461 CC,83.8 bhp,200Nm@ 1900rpm,5.0,20.45,kmpl,1461.0,83.8
volkswagen polo diesel highline 1.2l,2011,330000,120000,diesel,individual,manual,first owner,22.07 kmpl,1199 CC,73.9 bhp,180Nm@ 2000rpm,5.0,22.07,kmpl,1199.0,73.9
hyundai eon era plus,2014,220000,80000,petrol,individual,manual,third owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,kmpl,814.0,55.2
maruti ritz zxi,2013,415000,60000,petrol,individual,manual,second owner,18.5 kmpl,1197 CC,85.80 bhp,114Nm@ 4000rpm,5.0,18.5,kmpl,1197.0,85.8
maruti alto lx bsiii,2007,150000,75000,petrol,individual,manual,first owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
hyundai getz gls,2005,150000,89000,petrol,individual,manual,second owner,15.3 kmpl,1341 CC,83 bhp,115Nm@ 3200rpm,5.0,15.3,kmpl,1341.0,83.0
hyundai verna crdi abs,2007,240000,110000,diesel,individual,manual,first owner,18.1 kmpl,1493 CC,110 bhp,"24@ 1,900-2,750(kgm@ rpm)",5.0,18.1,kmpl,1493.0,110.0
maruti alto lx bsiii,2009,170000,90000,petrol,individual,manual,second owner,19.7 kmpl,796 CC,46.3 bhp,62Nm@ 3000rpm,5.0,19.7,kmpl,796.0,46.3
maruti ciaz zdi plus shvs,2015,550000,40000,diesel,individual,manual,third owner,28.09 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,28.09,kmpl,1248.0,88.5
nissan micra fashion edition xl cvt,2017,500000,26000,petrol,individual,automatic,first owner,19.34 kmpl,1198 CC,76 bhp,104Nm@ 4000rpm,5.0,19.34,kmpl,1198.0,76.0
mahindra xylo d2,2011,180000,120000,diesel,individual,manual,second owner,13.0 kmpl,2489 CC,95 bhp,220Nm at 1400-2600 rpm,8.0,13.0,kmpl,2489.0,95.0
mahindra kuv 100 mfalcon g80 k4,2017,360000,29000,petrol,individual,manual,first owner,18.15 kmpl,1198 CC,82 bhp,115Nm@ 3500-3600rpm,6.0,18.15,kmpl,1198.0,82.0
maruti swift dzire vxi,2014,400000,120000,petrol,individual,manual,first owner,19.1 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0,19.1,kmpl,1197.0,85.8
hyundai accent gle,2009,120000,70000,petrol,individual,manual,second owner,13.2 kmpl,1495 CC,94 bhp,"12.5@ 3,500(kgm@ rpm)",5.0,13.2,kmpl,1495.0,94.0
maruti vitara brezza zdi plus dual tone,2016,765000,100000,diesel,individual,manual,second owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,kmpl,1248.0,88.5
maruti vitara brezza zdi plus dual tone,2016,919999,90150,diesel,individual,manual,first owner,24.3 kmpl,1248 CC,88.5 bhp,200Nm@ 1750rpm,5.0,24.3,kmpl,1248.0,88.5
toyota platinum etios 1.4 gxd,2018,730000,90000,diesel,individual,manual,first owner,23.59 kmpl,1364 CC,67.05 bhp,170Nm@ 1800-2400rpm,5.0,23.59,kmpl,1364.0,67.05
tata zest quadrajet 1.3 75ps xm,2016,320000,120000,diesel,individual,manual,first owner,22.95 kmpl,1248 CC,74 bhp,190Nm@ 1750-3000rpm,5.0,22.95,kmpl,1248.0,74.0
honda amaze s i-dtech,2015,455000,90000,diesel,individual,manual,second owner,25.8 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,25.8,kmpl,1498.0,98.6
datsun go t option bsiv,2015,350000,50000,petrol,individual,manual,first owner,20.63 kmpl,1198 CC,67 bhp,104Nm@ 4000rpm,5.0,20.63,kmpl,1198.0,67.0
mahindra tuv 300 t8,2016,509999,110000,diesel,individual,manual,first owner,18.49 kmpl,1493 CC,100 bhp,240Nm@ 1600-2800rpm,7.0,18.49,kmpl,1493.0,100.0
tata indigo ls,2011,175000,85700,diesel,individual,manual,second owner,17.0 kmpl,1405 CC,70 bhp,"13.5@ 2,500(kgm@ rpm)",5.0,17.0,kmpl,1405.0,70.0
mahindra bolero 2011-2019 di non ac bs iii silver,2013,325000,178000,diesel,individual,manual,first owner,15.96 kmpl,2523 CC,63 bhp,180Nm@ 1440-1500rpm,9.0,15.96,kmpl,2523.0,63.0
tata indigo cs gls bsiii,2011,120000,70000,petrol,individual,manual,second owner,15.2 kmpl,1193 CC,65 bhp,"10.7@ 2,600(kgm@ rpm)",5.0,15.2,kmpl,1193.0,65.0
hyundai i10 sportz,2014,300000,30000,petrol,individual,manual,second owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0,20.36,kmpl,1197.0,78.9
honda city i dtec e,2015,500000,100000,diesel,individual,manual,first owner,26.0 kmpl,1498 CC,98.6 bhp,200Nm@ 1750rpm,5.0,26.0,kmpl,1498.0,98.6
maruti baleno delta 1.2,2016,562000,25339,petrol,individual,manual,first owner,21.4 kmpl,1197 CC,83.1 bhp,115Nm@ 4000rpm,5.0,21.4,kmpl,1197.0,83.1
hyundai eon magna plus,2014,250000,10000,petrol,individual,manual,first owner,21.1 kmpl,814 CC,55.2 bhp,74.5Nm@ 4000rpm,5.0,21.1,kmpl,814.0,55.2
tata zest quadrajet 1.3 xt,2017,484999,35000,diesel,individual,manual,first owner,20.65 kmpl,1248 CC,88.7 bhp,190Nm@ 1750-3000rpm,5.0,20.65,kmpl,1248.0,88.7
hyundai i10 sportz,2013,280000,35000,petrol,individual,manual,second owner,20.36 kmpl,1197 CC,78.9 bhp,111.8Nm@ 4000rpm,5.0,20.36,kmpl,1197.0,78.9
maruti ertiga vdi,2015,571000,68000,diesel,individual,manual,second owner,20.77 kmpl,1248 CC,88.76 bhp,200Nm@ 1750rpm,7.0,20.77,kmpl,1248.0,88.76
maruti swift vxi,2013,400000,40000,petrol,individual,manual,first owner,18.6 kmpl,1197 CC,85.8 bhp,114Nm@ 4000rpm,5.0,18.6,kmpl,1197.0,85.8
tata indigo cs ls (tdi) bs-iii,2015,295000,120000,diesel,individual,manual,second owner,19.09 kmpl,1405 CC,69.01 bhp,135Nm@ 2500rpm,5.0,19.09,kmpl,1405.0,69.01
